time,text,user,followers,city,country
21:38:34,Women do it better. First ones in line. #radioactiverecords #rsd17 #dedication @ Radio-Active… https://t.co/KjQPSZY0oY,radioactiverecs,3733,Fort Lauderdale,United States
21:39:03,"Yo, that's a lot of @astronautalis right thur! #joseyrecords #rsd17 #recordstoreday2017 #rsd… https://t.co/lYc4Kk8jsm",JoseyRecords,1974,Farmers Branch,United States
21:42:48,#theoffspring #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017… https://t.co/XGBuk8r6Nh,drfreeclouds,1349,Huntington Beach,United States
21:45:31,#frankndank #jaydee #thejaydeetapes #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday… https://t.co/7xA6Q2QbK6,drfreeclouds,1349,Huntington Beach,United States
21:48:37,That's one huge line!#RSDAUS #recordstoreday #supportyourlocalrecordstore #rsd2017 #rsd17… https://t.co/HWmKv0HWgA,beatdisc,622,Sydney,Australia
21:49:35,#brotherali #theundisputedtruth #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday… https://t.co/XGVn6brrCF,drfreeclouds,1349,Huntington Beach,United States
21:50:41,Off to the record store  #RSD17 https://t.co/Ormy6Tjrnw,nickbassett1981,4307,Auckland,New Zealand
21:52:58,"We repressed Wooden Head by @properornaments from beyond the grave for #RSD17. Mustard coloured, ltd to 500 + mp3s.… https://t.co/PyJSzj8wcB",fortunapop,7386,Walthamstow,United Kingdom
21:53:30,#stevienicks #rarities #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday… https://t.co/MsZkakfovh,drfreeclouds,1349,Huntington Beach,United States
21:59:20,#deeelite #grooveisintheheart #whatislove #recordstoredayexclusive #rsd17 #rsd2017… https://t.co/D9gcg1kAAl,drfreeclouds,1349,Huntington Beach,United States
22:01:56,#madprofessor #jah9 #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017… https://t.co/oTZ5YXd8K9,drfreeclouds,1349,Huntington Beach,United States
22:02:21,"Dave the #RSD17 mouse showing off @thebeatles @againstme &amp; @prince (1 year gone, never forgotten). Tomorrow is the… https://t.co/3Ql1gqz8n6",ZiaRecords,14174,Phoenix,United States
22:02:45,@StaggerLee30 @sick_records Enjoy Chris!!! Will hope to do so myself down here...#RSD17,oneillpaudie,1108,Cork,Ireland
22:03:18,Nothing like moving stuff around for #RSD17 to make you realize how dirty your store is.,MonsterMusicSC,1418,South Carolina,United States
22:03:52,Forming my own queue outside my house for #RSD17 as I can't get to the shops this year. Good luck if you're at… https://t.co/q7Y1foaJ7j,slipp3000,62,Pontefract,United Kingdom
22:09:05,It's #RSD2017 Check on #RecordStoreDay https://t.co/q3ZyvkNpLY for #NewReleases #RSD17 #RSD #NewMusic #NewMusicAlert #NewSingle #NewAlbum,MagicMusicMag,1041,Utrecht,The Netherlands
22:09:06,It's #RSD2017 Check on #RecordStoreDay https://t.co/5K2dcxdcSn for #NewReleases #RSD17 #RSD #NewMusic #NewMusicAlert #NewSingle #NewAlbum,MagicMusicMag,1041,Utrecht,The Netherlands
22:11:38,We've got a few copies of the new @TheObsessedOFC album 'Sacred' on CD and vinyl. They'll be going out tomorrow!… https://t.co/53gjW3zy5C,purple_narwhal,60,Washington,United States
22:13:15,Have a brilliant day!! https://t.co/SAVJvJK9Si,mygirltheriver,872,Camden Town,United Kingdom
22:15:13,Lining Up 4:@HumMusicGroup #Newtown for @recordstoreday @RSDAustralia #RSD17 #rsd2017 #RSDAus @ComicCrusaders… https://t.co/pzHMShhHyJ,Dodgy86inthemix,644,Newtown,Australia
22:15:24,Our official RSD stock list. See you all bright n early. Doors 7am start selling at 8. #rsd17  https://t.co/We5ksLLtHo,vinyltaprecords,4319,Yorkshire and The Humber,United Kingdom
22:16:08,Secretly hoping for random playlist spot checks so I can make friends with  like minded credible music fans #RSD17 https://t.co/PEHQiNz86M,nickbassett1981,4306,Auckland,New Zealand
22:20:47,First in the queue for #RSD17 @flashbacklondon #CrouchEnd. Keen as bloody mustard!@BBC6Music https://t.co/8usM2dx7mA,_OddbinsCE_,1401,Tottenham,United Kingdom
22:42:59,So stoked to have so many great Vancouver DJs in the house tomorrow. #recordstoreday #rsd17 @… https://t.co/bX4qiTRNkL,BEATSTREETrecs,2127,Vancouver,Canada
22:45:03,13 and a half hour shift finished and back at half 7 for #RSD17 Wubba Lubba Dub Dub,AndrewNoel73,319,Cardiff,United Kingdom
22:52:11,"To celebrate #RecordStoreDay we've designed a #PosterittyStyle album sleeve quiz, can you name the band/artist and… https://t.co/kwuPvGTpDC",posteritty,7463,Sheffield,United Kingdom
22:58:15,#RecordStoreDay #RSD17 #rsd2017 https://t.co/kvdzI7g60f,JordanGhastly,915,Georgia,United States
22:59:52,Life goal: Get a record player in time for next year's Record Store Day. #rsd17 @ Greville Records https://t.co/24mJVsGDyi,sjhross,993,Melbourne,Australia
23:01:48,Just got in the queue at @BanquetRecords  for #RSD17.  Only 8 hours to go. The first few watching Kingston night life go by.,chrisscoff,45,Kingston upon Thames,United Kingdom
23:07:43,Hello Twitter my old friend....just home from the siopa...it has never looked better....alarm set for 6 hours time....work is done.. #RSD17,MusicZoneDV,1211,Dublin City,Ireland
23:15:14,"#rsd17 exclusives listening party is underway! Free @PayetteBrewing beer (21+), raffles every 30 minutes including… https://t.co/s21ikxJhVt",RecordExchange,4604,Boise,United States
23:15:33,RECORD STORE DAYTOMORROW 9AM-5PMBE HERE!#RSD17 #vinyl #PRINCE #Bowie #U2 #Beatles #alexisonfire #Thesexpistols… https://t.co/IceTsqbaqs,patalonzomusic,492,Toronto,Canada
23:17:52,Here are the all-night Record Store Day queuers at 8 o'clock tonight. Mad for it! #RSD17 https://t.co/zOcfIxAwVJ,LoveMusicGlasgo,11850,Lochwinnoch,United Kingdom
23:17:59,"Some much needed fun, silly family time!  #rsd17 #calmbeforethestorm#familyfun #love @ Dave &amp;… https://t.co/9vHkO636q4",recordarchive,3048,Henrietta,United States
23:23:38,"Colonel Mustard &amp; the Dijon 5 release their brand new yellow vinyl 7"" single today!! Grab one then catch them playi… https://t.co/92zsHlA4GS",LoveMusicGlasgo,11850,Lochwinnoch,United Kingdom
23:32:41,So many nice soul &amp; funk LPs in for #recordstoreday 10am Saturday#rsd17 #donblackman… https://t.co/SAuy2TyZ6y,BEATSTREETrecs,2129,Vancouver,Canada
23:33:41,"Gonna try and get up early for #RSD17 tomorrow morning, there are a handful of exclusives ones I'm determined to get this year",4xac,186,Hillingdon,United Kingdom
23:33:53,They probably sound fab. But they definitely don't look fab. https://t.co/SH7tg0Y7m9,CurstSon,169,兵庫 神戸市 灘区,日本
23:43:58,#RecordStoreDay #recordstoreday2017 #RSD17 #rsd2017 #sneekpeek #vinyl #vinylrecords #Vinyl101 #clermont #Florida… https://t.co/35C74ExQn4,trianglevinyl,326,Clermont,United States
23:51:41,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/BIGSeo0eBL,drfreeclouds,1348,Huntington Beach,United States
23:52:26,The #RSD17 list part one: https://t.co/b6jyLp8j8T,lauriespos,2897,Chicago,United States
23:52:46,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/dRMzxjo6B6,drfreeclouds,1348,Huntington Beach,United States
23:53:39,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/r7Y5UZLxMC,drfreeclouds,1348,Huntington Beach,United States
23:53:51,The #RSD17 list part two: https://t.co/ij75pmvrP7,lauriespos,2897,Chicago,United States
23:57:03,Grimeys Too is closing at 7:30pm tonight so we can fill these crates with dope #RSD17 records for tomorrow!… https://t.co/N2rWqnHuqE,Grimeys,56777,Nashville,United States
00:02:43,Exclusives #RSDAUS #recordstoreday #supportyourlocalrecordstore #rsd2017 #rsd17 #beatdiscRSD @… https://t.co/OuplkGHNT9,beatdisc,623,Sydney,Australia
00:06:28,We've got campers! Record Store Day is ON ☔️or ☀️ #RSD17 @Grimeys opens at 10am. Line forms in Grimeys Too back lot. https://t.co/gP8NCMGqC5,Grimeys,56777,Nashville,United States
00:07:15,"Here is our #RSD17 list again, there have been edits, so check it out before we open tomorrow at 8am!! https://t.co/DrtbFLYeEf",twistDenver,12839,Colorado,United States
00:10:48,Happy chappy #RSDAUS #recordstoreday #supportyourlocalrecordstore #rsd2017 #rsd17 #beatdiscRSD @… https://t.co/o9sb9UWZMr,beatdisc,623,Sydney,Australia
00:12:36,@johnnyramone @theecjramone @lindaramone @RamonesOfficial I'M IN HEAVEN! Getting ready for @recordstoreday at… https://t.co/dn9J6WE9Iz,Joel311Bandit,1087,Mission,United States
00:13:49,Waiting #RSDAUS #recordstoreday #supportyourlocalrecordstore #rsd2017 #rsd17 #beatdiscRSD @… https://t.co/R4AbGEOhaq,beatdisc,623,Sydney,Australia
00:31:38,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/vHy4OhLqm5,drfreeclouds,1348,Huntington Beach,United States
00:32:05,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/YYeCNTXKll,drfreeclouds,1348,Huntington Beach,United States
00:36:44,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/7BIltgL3v6,drfreeclouds,1348,Huntington Beach,United States
00:40:48,Happy #rsd17 #rsd2017 to all!!! We look forward to seeing each and every one of you tomorrow!!!… https://t.co/pi9dEB5885,BrothersMusicKC,313,Mission,United States
00:43:03,The hashtag #RSD17 took the 2nd place in the Top20 of Nottingham's Trends for Friday 21: https://t.co/2j3osvNwRd #trndnl,trendinaliaNQT,214,Nottingham,Reino Unido
00:43:31,Deluxe 7 inch packages and box sets! #rsd17 #recordstoreday #ramones #sexpistols #sharonjones… https://t.co/j5DxBS88CG,BEATSTREETrecs,2129,Vancouver,Canada
00:46:19,#RSDMX #RSD17 ✌️😎👌 uno más a la colección (@ El club del Rock &amp; Roll - @clubrocknroll) https://t.co/AyoyC8Et1H https://t.co/Jy6t5Ga1TR,el_adversarioo,569,Cuauhtémoc,México
00:47:00,What!? More Japanese punk please! #OtobokeBeaver #RSD17  #punkrock #kyotopunk https://t.co/8KhoQkIunS,ChrisMejia,131,Long Beach,United States
00:47:29,It's almost 2am and the coldness is starting to kick in... it's going to be a long night #RSD17,JamesHarvey98,219,Manchester,United Kingdom
00:53:45,Great homage to Cobo Arena! https://t.co/PRNNHpQV16,QuakerSig89,92,Grosse Pointe Shores,United States
01:00:39,Get pumped!! Our doors open at 8am sharp tomorrow for #RSD17 Tons of limited exclusives in… https://t.co/oaf3iqHkSR,TonalityRecords,227,Toronto,Canada
01:01:10,本日13時〜タワレコ池袋店でお待ちしてます✋ https://t.co/WQmPggxb8d,AutoTent,719,東京 足立区,日本
01:09:29,"Por el #RSD17 de @RSD_MEX (@ BAJO CIRCUITO Multiforo Urbano - @elbajocircuito in Cuauhtémoc, Distrito Federal) https://t.co/Hxj9CoG87a",Stphns,58071,Miguel Hidalgo,Mexico
01:09:56,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/jfu6B9ROyn,drfreeclouds,1348,Huntington Beach,United States
01:12:33,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/fmNAtmOg1N,drfreeclouds,1348,Huntington Beach,United States
01:13:20,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/bsWjZhKeCN,drfreeclouds,1348,Huntington Beach,United States
01:13:58,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/WnDQykVQXZ,drfreeclouds,1348,Huntington Beach,United States
01:14:36,10 years!!!! I didn't realize I have attended EVERY record store day ever?!? https://t.co/uwT282O7lF,areyouwithcaz,1293,Sydney,Australia
01:15:08,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/eDMQmivwg7,drfreeclouds,1348,Huntington Beach,United States
01:16:28,RSD gets spicy #RSDAUS #recordstoreday #supportyourlocalrecordstore #rsd2017 #rsd17 #beatdiscRSD… https://t.co/Yur7eqab2W,beatdisc,623,Sydney,Australia
01:18:46,#againstme #stabithachristie #picturedisc #recordstoredayexclusive #rsd17 #rsd2017… https://t.co/CnSnWSuVaB,drfreeclouds,1348,Huntington Beach,United States
01:21:48,Happy Record Store Day y'all 🎶#recordstoreday #rsd #rsd17 #rsdaus #meatwave @sideonedummy… https://t.co/HOAGueoZpQ,CookingVinylAU,953,Melbourne,Australia
01:25:17,#thebeatles #strawberryfieldforever #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday… https://t.co/e9bdj7GegV,drfreeclouds,1348,Huntington Beach,United States
01:25:27,So stoked to finally not have to work on @recordstoreday after working the last 6! I will be in line early at @BullMoose tomorrow #RSD17,madhatterofoz,191,Portland,United States
01:27:13,#blindmrjones #stereomusicale #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday… https://t.co/fFp4rNH2f5,drfreeclouds,1348,Huntington Beach,United States
01:29:31,#artofnoise #momentsinlove #beatbox #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday… https://t.co/omXpVLbufa,drfreeclouds,1348,Huntington Beach,United States
01:31:52,Leaving in an hour and a half to wait online for @Coheed's #RSD17 pressing of Good Apollo I'm Burning Star IV | Volume One: FFTTEOM. 🤘🏽🤘🏽🤘🏽,Nevixd,710,East Shoreham,United States
01:32:22,.@SunBloodStories sound check! Music in a few minutes. #sunbloodstories #rsd17 https://t.co/X0Xx9L8tMT,RecordExchange,4604,Boise,United States
01:32:37,It’s #RSD17 and @LandspeedRec is having their biggest day of the year https://t.co/OHoOeSARJe,neildoody,252,Canberra City,Australia
01:38:11,Celebrating @recordstoreday...worldwide: https://t.co/aytKJ0KCEv @Loudwire @HammerMuzik #RSD17,chuck_a,1730,Manhattan,United States
01:45:36,Everyone: ready for #RSD17 ?Me: broke. 😩,InfectedByMCR,1592,Chandler,United States
01:49:15,How good is tea? #RSDAUS #recordstoreday #supportyourlocalrecordstore #rsd2017 #rsd17… https://t.co/gsgDQ89PSR,beatdisc,624,Sydney,Australia
01:49:24,32 boxes of 50 cent records. #rsd2017 #RSD17 Open at 10am! https://t.co/HwPlOoaYI8,ElectricKitsch,363,Bay City,United States
01:55:25,Flippin' #RSDAUS #recordstoreday #supportyourlocalrecordstore #rsd2017 #rsd17 #beatdiscRSD @… https://t.co/scsHrMoYLW,beatdisc,624,Sydney,Australia
02:02:00,Wonder how early I need to get to @CrookedBeatDC for RSD tomorrow.  Can't be as bad as when in DC. #vinyladdict #RSD17,bigjoo81,378,Washington,United States
02:09:16,"A todos los que participan en el #RSD17 dejen de publicar fotos, que a uno se le sube la emoción y la economía no está para pinches gastos.",Chachacharlis,517,Cuauhtémoc,México
02:09:45,"I know I buy a lot of trivial things, but I would trade them all for the Space Jam soundtrack on vinyl #RSD17 #rsd2017 #rsd @recordstoreday",zbTrib,734,Pittsburgh,United States
02:15:53,Nice! Good ol' Bruce from Know Name. https://t.co/yVbRv6AEiq,DJGloveRepair,384,Minneapolis,United States
02:16:01,Good luck everyone #RSD17 https://t.co/nFxoZ715Pn,DaveDogFacedBoy,399,Maidenhead,United Kingdom
02:18:22,@Steven__C @jkconnolly @Doctor_J_ Good luck everyone #RSD17 #rsd2017 https://t.co/wwbn9ZMf40,DaveDogFacedBoy,399,Maidenhead,United Kingdom
02:18:33,First in line at 7 the night before! #RSD #RSD17 #VinylJunkies #Vinyl #Visalia #WaxWars… https://t.co/kway2cXcy5,VelouriaRecords,343,Visalia,United States
02:19:20,Eurgh. Earl Sweatshirt has cancelled tomorrow's gig. Anything fun happening boost #RSD17 in Toronto?,MisterDK,223,Toronto,Canada
02:22:48,That's Totally Unicorn! #RSDAUS #recordstoreday #supportyourlocalrecordstore #rsd2017 #rsd17… https://t.co/kUOfCwxRxP,beatdisc,624,Sydney,Australia
02:26:38,And the wait begins! #rsd17 #PACDs @ Park Ave CDs https://t.co/We6CeqIvGK,nvoll84,193,Winter Park,United States
02:30:57,Come for the records. Stay for the badges. RSD X HWV#hideawayvinyl #rosiesvintagestore #rsd17… https://t.co/FjoLUQLkvz,HideawayVinyl,26,Cold Spring Harbor,United States
02:31:54,確保#mondogrosso #ラビリンス #大沢伸一 #RECORDSTOREDAY #RECORDSTOREDAY2017 #RSD17 @ Jet Set https://t.co/fh0BWnColF,zizibijou,722,京都 京都市 中京区,日本
02:32:46,5th and 6th in queue of 9 @REFLEX_CD_VINYL ahead of #RSD17 https://t.co/M2327ns8P3,rossphilllips,20,Newcastle Upon Tyne,United Kingdom
02:37:15,"Lookin good for tomorrow! All star team of Nilsson, Carlin, Folds and Big L #RSD17 https://t.co/TrxQ5HwJyz",EasyStRecords,21461,Seattle,United States
02:42:54,some of the last previews of #RSD17 but there's so much more. Looking forward to tomorrow https://t.co/ohgWwZMOUR,EasyStRecords,21461,Seattle,United States
02:45:33,#madonna #dancemix #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017… https://t.co/ctMswEJos4,drfreeclouds,1348,Huntington Beach,United States
02:45:42,"Record Store Day is 2morrow. Support a music store. Get adventurous, pick up some vinyl and hear the difference.… https://t.co/tM82xrsSJu",Tecumseh_Music,70,Burlington,Canada
02:46:44,#conjureone #netwerk #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday… https://t.co/5KaZLAReV6,drfreeclouds,1348,Huntington Beach,United States
02:48:13,#iggypop #postpopdespression #liveattheroyalalberthall #recordstoredayexclusive #rsd17 #rsd2017… https://t.co/ziZVln2o69,drfreeclouds,1348,Huntington Beach,United States
03:11:58,"Just a lil sneak peak of or MASSIVE #rsd17 selection! Yep, that's 3 bins worth of goodies for… https://t.co/c1lvyDzXIw",JoseyRecords,1977,Farmers Branch,United States
03:12:03,Decisions #RSDAUS #recordstoreday #supportyourlocalrecordstore #rsd2017 #rsd17 #beatdiscRSD @… https://t.co/1WEnTiSpSn,beatdisc,624,Sydney,Australia
03:12:40,Over at @label_obscura I pick my top 4 @recordstoreday releases for #RSD17 https://t.co/54QRifHTYS,SeanPalmerston,830,Toronto,Canada
03:17:30,#RSDAUS #recordstoreday #supportyourlocalrecordstore #rsd2017 #rsd17 #beatdiscRSD @ Beatdisc… https://t.co/xBvUApBbLT,beatdisc,624,Sydney,Australia
03:24:37,Queuing outside @TowerDublin for #RSD17 7th in queue @RSDUK https://t.co/S6JFNdh4MC,EthanClaffey,40,Dublin City,Ireland
03:46:02,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/RozlXDvrRE,drfreeclouds,1349,Huntington Beach,United States
03:46:28,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/COmyiXgWKx,drfreeclouds,1349,Huntington Beach,United States
03:47:47,Queuing outside @TowerDublin for #RSD17 9th in queue https://t.co/gSycA3vu9v,EthanClaffey,40,Dublin City,Ireland
03:48:48,New blog post for #RedHillMiningTown &amp; #RSD17: https://t.co/8FlLS4U4lE,U2RadioBrook,693,San Bernardino,United States
03:48:49,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/T8F41VZlBD,drfreeclouds,1349,Huntington Beach,United States
03:54:35,There's already 3 people other than @Philet_o_Phil and I waiting outside @LooneyTunesCDS. Here's hoping to that Goo… https://t.co/iYBcNPhbp4,Nevixd,710,West Babylon,United States
03:56:46,All ready to go! Open @ 10am! #rsd #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 @ Siren… https://t.co/zf7KCcKi6c,sirenrecords,2145,Doylestown,United States
04:01:37,Happy #earthday2017 AND #RSD17 👏👏👏,OliviaJade,353,Kentucky,United States
04:03:48,Happy Record Store Day!!! #RSD17 #rsd2017,shoeguydxb,76,Dubai,United Arab Emirates
04:07:01,Queuing outside @TowerDublin for #RSD17 9th in queue @RSDUK https://t.co/0RsQj2OTzw,EthanClaffey,40,Dublin City,Ireland
04:14:13,2nd in the queue @RSDUK #RSD17,Purdee,363,Southend-on-Sea,United Kingdom
04:21:23,Hungry and in need of a coffee...damn you #rsd17 @ Soundclash Records https://t.co/krLb5LAB8k,justinhoward6,909,Norwich,United Kingdom
04:23:47,Happy Record Store day! Hope everyone gets what they want. I am 13th in the queue @Monorail_Music a PB for me#RSD17 https://t.co/HH8ZcqXEN2,tartan_mac,176,Glasgow,United Kingdom
04:23:52,@GetItOnVinyl @recordstoreday Outside @RoughTradeNYC. #RSD17,chuck_a,1730,Brooklyn,United States
04:24:24,@GetItOnVinyl @recordstoreday Outside @RoughTradeNYC. #RSD17 https://t.co/aH5OToHXC1,chuck_a,1730,Brooklyn,United States
04:29:35,"One thing from years of con going, I'm used to queuing from stupid o'clock lol. Saturday 5:20am &amp; 20th in queue :/ Fingers crossed. #RSD17",Rockstar6662,281,Saint Albans,United Kingdom
04:30:11,“@rossphilllips: 5th and 6th in queue of 9 @REFLEX_CD_VINYL ahead of #RSD17 https://t.co/vut9DEUJSN” @RSDUK,REFLEX_CD_VINYL,2367,Rowlands Gill,United Kingdom
04:30:13,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/cPKGwbZBA6,drfreeclouds,1349,Huntington Beach,United States
04:30:52,#recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday #recordstoreday2017 available this… https://t.co/yIMjuh053r,drfreeclouds,1349,Huntington Beach,United States
04:34:17,5000+ #dollarvinyl this #saturday &amp; #sunday for #rsd #rsd17 #recordstoreday #recordstoreday2017… https://t.co/GeUgCIfHaF,drfreeclouds,1349,Huntington Beach,United States
04:34:38,#RSD17 Can finally see the front. hope this long wait will prove worthwhile (at @roughtrade) https://t.co/sm77seLfW6 https://t.co/fCVNUhGDQP,mpsamuels,1212,Poplar,United Kingdom
04:34:56,Limited edition Star Wars turntables available tomorrow morning at 10am! #RSD #RSD17 #StarWars… https://t.co/YBlZ7iwXRX,VelouriaRecords,343,Visalia,United States
04:35:50,This is hard to read but head to our site for the full #RSD17 itinerary https://t.co/lgLl0SI11t https://t.co/y6h5V99sgW,EasyStRecords,21461,Seattle,United States
04:44:25,It's Record Store Day tomorrow! #RSD17 https://t.co/PScFUWTyAj,johnryanshea,1572,Los Angeles,United States
04:51:58,"Another year, another @RSDUK rolls around. Much milder in the queue this year though! Happy #RSD17 everyone!",TomLoveMusician,320,Cheltenham,United Kingdom
04:56:57,Let's do #rsd17 🕺🏽Doors open at 8:00AM. #radioactiverecords #rsd17 @ Radio-Active Records https://t.co/T18LFm6ykO,radioactiverecs,3734,Fort Lauderdale,United States
04:57:05,"Thanks for the tea @BridportMusic,  in the queue for #rsd17 @BBC6Music",widget505,28,Bridport,United Kingdom
04:57:40,@BBC6Music #whitstable looks like it's up early for #RSD17 #rsduk https://t.co/WQ7h194yZa,Nuttymanuk,336,Pean Hill,United Kingdom
04:58:25,I'm up ridiculously early to go buy records #RSD17 #recordstoreday2017 #RecordStoreDay,Benji808,134,Heanor,United Kingdom
05:00:38,Still have my alarm from last year... #rsd #RSD17 #letsgo https://t.co/9qr5jr5vrN,meganmcface,1815,Austin,United States
05:01:19,MORNING! Surprisingly didn't struggle to wake up. Must be the excitement of heading to @VoxBoxMusic to see @MarthaFfion #RSD17,LilVik,1485,North East,United Kingdom
05:02:24,Its here.. #RSD17 https://t.co/HCMqSaDlRt,thepaullangley,1115,Knutsford,United Kingdom
05:05:29,I have entered the phase of wondering if I was early enough and desperately hoping everyone in front isn't after the same things lol. #RSD17,Rockstar6662,281,Saint Albans,United Kingdom
05:07:51,Our two early birds!#RSD #RSD17 #Vinyl #VinylJunkie #Visalia #WaxWars #VelouriaRecords @… https://t.co/ynUTV2pDG8,VelouriaRecords,343,Visalia,United States
05:09:46,Am I about to sleep outside for the next 7 hours? Just for @Coheed's GAIBSIV #RSD17 release? You bet I am.,Nevixd,711,West Babylon,United States
05:09:57,Daybreak #rsd17 #vinylcollector #vinylcollection #vinylmatters… https://t.co/A0FkoYLE4q,justinhoward6,909,Norwich,United Kingdom
05:15:40,"So this is when you're meant to go out on #RSD17 is it? 😩 (@ Elverson Road DLR Station in Lewisham, Greater London) https://t.co/WKgoLVxoHI",bitoclass,2530,Greenwich,United Kingdom
05:15:56,@RSDUK #RSD17 what's top of your wants list early queuers?,REFLEX_CD_VINYL,2367,North East,United Kingdom
05:16:50,Wowzers! Wouldn't like to do the walk of shame past that lot #RSD17 @BanquetRecords @recordstoreday https://t.co/Hxs9SYLwuI,chaztim,44,Richmond,United Kingdom
05:16:59,#RSD17 bij Kroese,famslegers,13,Nijmegen,Nederland
05:19:26,#RSD17 bij Kroese in Nijmegen. https://t.co/VkAIaHrfWC,famslegers,13,Nijmegen,Nederland
05:21:33,"In the #rsd17 queue before 5 this year and in the top 50 at roughtradenottm, so we're in from… https://t.co/QWe0BPFp70",markbutcher_,589,Nottingham,United Kingdom
05:24:44,Happy @RSDUK #RSD17 🎧🎸🥁🎶,dannymcg,1728,Walthamstow,United Kingdom
05:28:54,Today is the day #RSD17,jonersays,103,Hereford,United Kingdom
05:32:40,In the queue at @residentmusic with @paperweight10 #RSD17 https://t.co/h2H8pHzqsD,b_price25,151,Brighton,United Kingdom
05:33:05,Good morning you wonderful lot!! #rsd17 https://t.co/h3qNyPDS6P,residentmusic,14146,Brighton,United Kingdom
